epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.588,1.67983,2.89818,1.24304,0.01915,0.69782,0.28313,0.14585,1.75664,2.99403,1.20144,0.00016,0.00016,0.00016
2,438.017,1.62181,1.60951,1.19217,0.84768,0.23364,0.31059,0.16831,1.7268,2.54267,1.20277,0.000333268,0.000333268,0.000333268
3,783.081,1.54236,1.29965,1.17013,0.91818,0.20977,0.31709,0.18009,1.69245,2.64618,1.20137,0.000499408,0.000499408,0.000499408
4,1008.51,1.49507,1.23515,1.18882,0.86184,0.19435,0.30743,0.16629,1.66727,2.51832,1.22599,0.00065842,0.00065842,0.00065842
5,1245.78,1.53683,1.21916,1.23502,0.65722,0.15888,0.21907,0.10547,1.73326,2.66183,1.32001,0.000810304,0.000810304,0.000810304
6,1478.75,1.53512,1.20006,1.22349,0.31508,0.11526,0.12847,0.05596,1.75228,2.82671,1.41789,0.00095506,0.00095506,0.00095506
7,1730.92,1.51416,1.16445,1.21022,0.7736,0.09582,0.15588,0.06877,1.82614,3.07637,1.44484,0.00109269,0.00109269,0.00109269
8,1880.6,1.54425,1.13019,1.18369,0.42102,0.081,0.0866,0.03081,1.84456,3.14508,1.46954,0.00122319,0.00122319,0.00122319
9,2065.27,1.5452,1.1464,1.19767,0.32897,0.16511,0.15264,0.07453,1.85018,2.58109,1.37795,0.00134656,0.00134656,0.00134656
10,2193.65,1.57958,1.22526,1.2212,0.79844,0.1481,0.27344,0.12454,1.84135,2.55751,1.37599,0.0014628,0.0014628,0.0014628
11,2375.96,1.52192,1.13052,1.2113,0.51367,0.20872,0.24908,0.12148,1.96726,2.32987,1.44051,0.00157192,0.00157192,0.00157192
12,2577.65,1.52622,1.1085,1.18673,0.44594,0.32399,0.30185,0.14027,1.88513,2.22674,1.45215,0.0015644,0.0015644,0.0015644
13,2754.87,1.50094,1.09599,1.18386,0.71723,0.43614,0.50131,0.23832,1.86045,1.92086,1.38463,0.0015248,0.0015248,0.0015248
14,2920.15,1.45934,1.0337,1.17287,0.69367,0.46106,0.52874,0.25448,1.81268,1.82196,1.35634,0.0014852,0.0014852,0.0014852
15,3075.71,1.38646,0.99198,1.15056,0.60377,0.4891,0.51362,0.2579,1.79692,1.65486,1.34736,0.0014456,0.0014456,0.0014456
16,3275.92,1.4362,1.02534,1.17067,0.69071,0.54517,0.58184,0.25868,1.86227,1.48687,1.37559,0.001406,0.001406,0.001406
17,3440.54,1.45232,1.02713,1.14862,0.70076,0.47975,0.5517,0.27735,1.71006,1.35764,1.30012,0.0013664,0.0013664,0.0013664
18,3649.67,1.50618,1.01213,1.1754,0.70359,0.53894,0.57034,0.27871,1.76964,1.32223,1.33263,0.0013268,0.0013268,0.0013268
19,3798.89,1.38319,0.97457,1.14681,0.67379,0.59502,0.61114,0.30776,1.70896,1.26337,1.29327,0.0012872,0.0012872,0.0012872
20,3978.16,1.41131,0.96373,1.13095,0.70088,0.54746,0.5998,0.31134,1.64681,1.28937,1.26806,0.0012476,0.0012476,0.0012476
21,4203.41,1.37443,0.94107,1.14104,0.72001,0.56698,0.62798,0.32676,1.69633,1.30533,1.27481,0.001208,0.001208,0.001208
22,4400.57,1.37172,0.9231,1.14011,0.77613,0.56386,0.65009,0.33795,1.67546,1.22077,1.29605,0.0011684,0.0011684,0.0011684
23,4575.72,1.38353,0.91399,1.13346,0.73482,0.6129,0.66882,0.34462,1.71472,1.18161,1.3374,0.0011288,0.0011288,0.0011288
24,4732.38,1.32403,0.89928,1.1122,0.80225,0.59502,0.66878,0.34231,1.66457,1.13884,1.29392,0.0010892,0.0010892,0.0010892
25,4907.48,1.31037,0.90152,1.12954,0.78433,0.56648,0.66095,0.33171,1.69927,1.18364,1.31378,0.0010496,0.0010496,0.0010496
26,5131.28,1.36626,0.89601,1.0973,0.70352,0.5919,0.64524,0.30644,1.81283,1.17342,1.37026,0.00101,0.00101,0.00101
27,5252.43,1.3174,0.8748,1.09872,0.68323,0.66978,0.67842,0.33223,1.65875,1.1389,1.27719,0.0009704,0.0009704,0.0009704
28,5453.96,1.33494,0.85752,1.10467,0.75741,0.58358,0.66679,0.34198,1.62151,1.1409,1.23942,0.0009308,0.0009308,0.0009308
29,5600.74,1.35178,0.88341,1.11195,0.76686,0.5919,0.66725,0.32772,1.65604,1.14722,1.26412,0.0008912,0.0008912,0.0008912
30,5742.79,1.34053,0.8784,1.10361,0.73742,0.64174,0.65339,0.33124,1.62523,1.1457,1.26375,0.0008516,0.0008516,0.0008516
31,5916.72,1.25643,0.82852,1.08998,0.74764,0.64486,0.67849,0.34911,1.64394,1.13688,1.27111,0.000812,0.000812,0.000812
32,6105.96,1.28592,0.84962,1.10579,0.74273,0.61682,0.68447,0.36618,1.62623,1.08252,1.24243,0.0007724,0.0007724,0.0007724
33,6245.17,1.27587,0.81903,1.08441,0.75285,0.60748,0.65814,0.33647,1.68825,1.10079,1.27186,0.0007328,0.0007328,0.0007328
34,6404.55,1.2293,0.79784,1.07987,0.73394,0.61682,0.66603,0.35018,1.65697,1.08371,1.27534,0.0006932,0.0006932,0.0006932
35,6559.82,1.23717,0.79394,1.08638,0.77165,0.61682,0.68571,0.37275,1.63914,1.0449,1.25594,0.0006536,0.0006536,0.0006536
36,6772.15,1.24324,0.80569,1.07368,0.73081,0.61371,0.67941,0.35671,1.6959,1.06199,1.29236,0.000614,0.000614,0.000614
37,6936.69,1.23995,0.76682,1.07361,0.69762,0.65404,0.6562,0.35259,1.65261,1.02944,1.25977,0.0005744,0.0005744,0.0005744
38,7128.12,1.20759,0.7623,1.05414,0.71377,0.66978,0.66124,0.34686,1.65407,1.02271,1.27108,0.0005348,0.0005348,0.0005348
39,7263.17,1.17762,0.75415,1.04532,0.76827,0.64035,0.68765,0.36581,1.62322,0.97591,1.26642,0.0004952,0.0004952,0.0004952
40,7505.11,1.13821,0.74193,1.03343,0.77483,0.61059,0.69063,0.35618,1.66917,1.02073,1.28666,0.0004556,0.0004556,0.0004556
41,7696.2,1.17902,0.81052,1.04059,0.70917,0.6305,0.65843,0.33058,1.73979,1.15574,1.33394,0.000416,0.000416,0.000416
42,7850.97,1.18608,0.78245,1.03933,0.7023,0.60748,0.64757,0.33275,1.70797,1.23646,1.29589,0.0003764,0.0003764,0.0003764
43,7976.42,1.18962,0.78773,1.0507,0.69673,0.61682,0.65797,0.34804,1.6137,1.10572,1.24506,0.0003368,0.0003368,0.0003368
44,8119.59,1.16842,0.7457,1.03284,0.72948,0.63005,0.66831,0.34556,1.60948,1.02863,1.25889,0.0002972,0.0002972,0.0002972
